FORMULA,CONDITION: Temperature (K),PROPERTY: Heat Capacity (J/mol K)
C1K1N1,298.0,66.391
Be1H2O2,298.0,65.70100000000001
Be1H2O2,900.0,110.399
Be1H2O2,800.0,107.495
Be1H2O2,700.0,103.956
Be1H2O2,600.0,99.387
Be1H2O2,500.0,92.994
Be1H2O2,400.0,82.902
Be1H2O2,300.0,66.053
Cs1,900.0,37.656
Cs1,800.0,37.635
Cs1,700.0,37.614000000000004
Cs1,600.0,37.53
Cs1,500.0,37.196
Cs1,450.0,36.777
Cs1,400.0,36.066
Cs1,350.0,34.84
Cs1,301.55,32.501
Cs1,300.0,32.355
Cs1,298.0,32.195
Al1H4Li1,298.0,86.4
Al1H4Li1,1900.0,123.76299999999999
Al1H4Li1,1800.0,123.24700000000001
Al1H4Li1,1700.0,122.71700000000001
Al1H4Li1,1600.0,122.17299999999999
Al1H4Li1,1500.0,121.615
Al1H4Li1,1400.0,121.04299999999999
Al1H4Li1,1300.0,120.416
Al1H4Li1,1200.0,119.74600000000001
Al1H4Li1,1100.0,118.84700000000001
Al1H4Li1,1000.0,117.78
Al1H4Li1,900.0,116.2
Al1H4Li1,800.0,114.223
Al1H4Li1,700.0,111.294
Al1H4Li1,600.0,106.90100000000001
Al1H4Li1,500.0,101.25299999999999
Al1H4Li1,400.0,93.72200000000001
Al1H4Li1,300.0,86.944
C1Be2,3400.0,92.939
C1Be2,3300.0,92.86399999999999
C1Be2,3200.0,92.786
C1Be2,3100.0,92.705
C1Be2,3000.0,92.62100000000001
C1Be2,2900.0,92.53399999999999
C1Be2,2800.0,92.443
C1Be2,2700.0,92.35
C1Be2,2600.0,92.25299999999999
C1Be2,2500.0,92.15299999999999
C1Be2,2400.0,92.04799999999999
C1Be2,2400.0,92.04799999999999
C1Be2,2300.0,91.964
C1Be2,2200.0,91.885
C1Be2,2100.0,91.79700000000001
C1Be2,2000.0,91.72200000000001
C1Be2,1900.0,91.62100000000001
C1Be2,1800.0,91.34899999999999
C1Be2,1700.0,90.84299999999999
C1Be2,1600.0,90.023
C1Be2,1500.0,88.881
C1Be2,1400.0,87.27799999999999
C1Be2,1300.0,85.01100000000001
C1Be2,1200.0,81.797
C1Be2,1100.0,77.525
C1Be2,1000.0,73.249
C1Be2,900.0,68.977
C1Be2,800.0,64.706
C1Be2,700.0,60.434
C1Be2,600.0,51.89
C1Be2,500.0,49.751999999999995
C1Be2,400.0,47.614
C1Be2,300.0,43.32899999999999
C1Be2,298.0,43.25
Cr1,2700.0,68.467
Cr1,2600.0,66.111
Cr1,2500.0,63.763999999999996
Cr1,2400.0,61.425
Cr1,2300.0,59.099
Cr1,2200.0,56.785
Cr1,2130.0,55.174
Cr1,2100.0,54.488
Cr1,2000.0,52.20399999999999
Cr1,1900.0,49.943999999999996
Cr1,1800.0,47.706
Cr1,1700.0,45.501000000000005
Cr1,1600.0,43.32899999999999
Cr1,1500.0,41.2
Cr1,1400.0,39.125
Cr1,1300.0,37.116
Cr1,1200.0,35.187
Cr1,1100.0,33.472
Cr1,1000.0,31.861
Cr1,900.0,30.500999999999998
Cr1,800.0,29.434
Cr1,700.0,28.576999999999998
Cr1,600.0,27.719
Cr1,500.0,26.631
Cr1,450.0,25.983
Cr1,400.0,25.23
Cr1,350.0,24.393
Cr1,311.5,23.680999999999997
Cr1,311.5,23.680999999999997
Cr1,300.0,23.471999999999998
Cr1,298.0,23.434
Cs2O4S1,1400.0,256.103
Cs2O4S1,1300.0,240.622
Cs2O4S1,1278.0,237.233
Cs2O4S1,1200.0,225.141
Cs2O4S1,1100.0,209.66
Cs2O4S1,1000.0,194.179
Cs2O4S1,940.0,184.891
Cs2O4S1,900.0,178.699
Cs2O4S1,800.0,163.218
Cs2O4S1,700.0,147.737
Cs2O4S1,600.0,132.256
Cs2O4S1,500.0,120.081
Cs2O4S1,400.0,112.131
Cs2O4S1,300.0,108.78399999999999
Cs2O4S1,298.0,108.7
Cl1Cu1,1400.0,66.874
Cl1Cu1,1300.0,66.459
Cl1Cu1,1200.0,66.01100000000001
Cl1Cu1,1100.0,65.531
Cl1Cu1,1000.0,65.01899999999999
Cl1Cu1,900.0,64.388
Cl1Cu1,800.0,63.68
Cl1Cu1,703.0,62.791000000000004
Cl1Cu1,700.0,62.76
Cl1Cu1,600.0,61.505
Cl1Cu1,500.0,59.831
Cl1Cu1,400.0,56.902
Cl1Cu1,300.0,48.771
Cl1Cu1,298.0,48.534
Cu1F2,1900.0,94.55799999999999
Cu1F2,1800.0,94.55799999999999
Cu1F2,1700.0,94.55799999999999
Cu1F2,1600.0,94.43299999999999
Cu1F2,1500.0,94.22399999999999
Cu1F2,1400.0,93.84700000000001
Cu1F2,1300.0,93.303
Cu1F2,1200.0,92.55
Cu1F2,1109.0,91.713
Cu1F2,1100.0,91.588
Cu1F2,1000.0,90.374
Cu1F2,900.0,88.868
Cu1F2,800.0,87.027
Cu1F2,700.0,84.81
Cu1F2,600.0,81.92299999999999
Cu1F2,500.0,77.73899999999999
Cu1F2,400.0,72.383
Cu1F2,300.0,65.689
Cu1F2,298.0,65.55199999999999
Al2O3,298.0,79.015
Al2O3,2900.0,143.511
Al2O3,2800.0,142.591
Al2O3,2700.0,141.754
Al2O3,2600.0,140.959
Al2O3,2500.0,140.20600000000002
Al2O3,2400.0,139.453
Al2O3,2327.0,138.934
Al2O3,2300.0,138.741
Al2O3,2200.0,138.03
Al2O3,2100.0,137.319
Al2O3,2000.0,136.608
Al2O3,1900.0,135.89600000000002
Al2O3,1800.0,135.143
Al2O3,1700.0,134.306
Al2O3,1600.0,133.361
Al2O3,1500.0,132.29
Al2O3,1400.0,131.08100000000002
Al2O3,1300.0,129.737
Al2O3,1200.0,128.252
Al2O3,1100.0,126.60799999999999
Al2O3,1000.0,124.771
Al2O3,900.0,122.662
Al2O3,800.0,120.135
Al2O3,700.0,116.926
Al2O3,600.0,112.545
Al2O3,500.0,106.131
Al2O3,400.0,96.086
Al2O3,300.0,79.416
B1N1,298.0,19.719
B1N1,3400.0,48.953
B1N1,3300.0,48.953
B1N1,3200.0,48.953
B1N1,3100.0,48.953
B1N1,3000.0,48.953
B1N1,2900.0,48.953
B1N1,2800.0,48.953
B1N1,2700.0,48.953
B1N1,2600.0,48.953
B1N1,2500.0,48.953
B1N1,2400.0,48.953
B1N1,2300.0,48.953
B1N1,2200.0,48.953
B1N1,2100.0,48.953
B1N1,2000.0,48.953
B1N1,1900.0,48.953
B1N1,1800.0,48.953
B1N1,1700.0,48.93899999999999
B1N1,1600.0,48.911
B1N1,1500.0,48.702
B1N1,1400.0,48.283
B1N1,1300.0,47.698
B1N1,1200.0,46.861000000000004
B1N1,1100.0,45.815
B1N1,1000.0,44.35
B1N1,900.0,42.593
B1N1,800.0,40.459
B1N1,700.0,38.074
B1N1,600.0,35.229
B1N1,500.0,31.38
B1N1,400.0,26.276
B1N1,300.0,19.849
Co1O4S1,1900.0,173.25900000000001
Co1O4S1,1800.0,171.921
Co1O4S1,1700.0,170.498
Co1O4S1,1600.0,169.075
Co1O4S1,1500.0,167.56900000000002
Co1O4S1,1400.0,165.979
Co1O4S1,1300.0,164.30599999999998
Co1O4S1,1200.0,162.465
Co1O4S1,1100.0,160.415
Co1O4S1,1000.0,158.113
Co1O4S1,964.0,156.792
Co1O4S1,964.0,157.221
Co1O4S1,900.0,155.394
Co1O4S1,800.0,152.047
Co1O4S1,700.0,147.27700000000002
Co1O4S1,600.0,140.666
Co1O4S1,500.0,131.545
Co1O4S1,400.0,119.286
Co1O4S1,300.0,103.63799999999999
Co1O4S1,298.0,103.219
Cu1O1,1900.0,62.494
Cu1O1,1800.0,61.726000000000006
Cu1O1,1700.0,60.958
Cu1O1,1600.0,60.181000000000004
Cu1O1,1500.0,59.395
Cu1O1,1400.0,58.601000000000006
Cu1O1,1300.0,57.8
Cu1O1,1200.0,56.978
Cu1O1,1100.0,56.135
Cu1O1,1000.0,55.262
Cu1O1,900.0,54.34
Cu1O1,800.0,53.349
Cu1O1,700.0,52.24
Cu1O1,600.0,50.935
Cu1O1,500.0,49.261
Cu1O1,400.0,46.806000000000004
Cu1O1,300.0,42.364
Cu1O1,298.0,42.246
Br1Na1,298.0,51.4
Br1Na1,1900.0,72.645
Br1Na1,1800.0,71.267
Br1Na1,1700.0,69.925
Br1Na1,1600.0,68.618
Br1Na1,1500.0,67.345
Br1Na1,1400.0,66.107
Br1Na1,1300.0,64.852
Br1Na1,1200.0,63.597
Br1Na1,1100.0,62.342
Br1Na1,1020.0,61.336999999999996
Br1Na1,1000.0,61.086000000000006
Br1Na1,900.0,59.831
Br1Na1,800.0,58.576
Br1Na1,700.0,57.321000000000005
Br1Na1,600.0,56.066
Br1Na1,500.0,54.852
Br1Na1,400.0,53.451
Br1Na1,300.0,51.442
Cr2O3,2900.0,146.24200000000002
Cr2O3,2800.0,145.333
Cr2O3,2700.0,144.428
Cr2O3,2603.0,143.553
Cr2O3,2600.0,143.526
Cr2O3,2500.0,142.628
Cr2O3,2400.0,141.733
Cr2O3,2300.0,140.839
Cr2O3,2200.0,139.947
Cr2O3,2100.0,139.056
Cr2O3,2000.0,138.168
Cr2O3,1900.0,136.88
Cr2O3,1800.0,135.457
Cr2O3,1700.0,134.47799999999998
Cr2O3,1600.0,133.486
Cr2O3,1500.0,132.482
Cr2O3,1400.0,131.457
Cr2O3,1300.0,130.411
Cr2O3,1200.0,129.332
Cr2O3,1100.0,128.202
Cr2O3,1000.0,127.009
Cr2O3,900.0,125.725
Cr2O3,800.0,124.29
Cr2O3,700.0,122.625
Cr2O3,600.0,120.54899999999999
Cr2O3,500.0,117.721
Cr2O3,400.0,112.675
Cr2O3,305.0,126.775
Cr2O3,305.0,126.775
Cr2O3,300.0,121.92200000000001
Cr2O3,298.0,120.366
Cs1F1,1900.0,69.036
Cs1F1,1800.0,68.994
Cs1F1,1700.0,68.91
Cs1F1,1600.0,68.743
Cs1F1,1500.0,68.492
Cs1F1,1400.0,68.157
Cs1F1,1300.0,67.697
Cs1F1,1200.0,66.944
Cs1F1,1100.0,65.85600000000001
Cs1F1,1000.0,64.35
Cs1F1,976.0,63.952
Cs1F1,900.0,62.63399999999999
Cs1F1,800.0,60.876999999999995
Cs1F1,700.0,59.12
Cs1F1,600.0,57.363
Cs1F1,500.0,55.56399999999999
Cs1F1,400.0,53.763999999999996
Cs1F1,300.0,52.007
Cs1F1,298.0,51.965
Cr2N1,2400.0,127.277
Cr2N1,2300.0,124.934
Cr2N1,2200.0,122.59100000000001
Cr2N1,2100.0,119.955
Cr2N1,2000.0,117.48700000000001
Cr2N1,1900.0,114.76700000000001
Cr2N1,1800.0,112.508
Cr2N1,1700.0,109.788
Cr2N1,1600.0,107.027
Cr2N1,1500.0,104.265
Cr2N1,1400.0,101.50399999999999
Cr2N1,1300.0,98.742
Cr2N1,1200.0,95.98100000000001
Cr2N1,1100.0,93.26100000000001
Cr2N1,1000.0,90.5
Cr2N1,900.0,87.738
Cr2N1,800.0,84.977
Cr2N1,700.0,82.257
Cr2N1,600.0,79.49600000000001
Cr2N1,500.0,76.735
Cr2N1,400.0,73.429
Cr2N1,300.0,66.191
Cr2N1,298.0,66.065
Cl1Li1,1900.0,82.863
Cl1Li1,1800.0,80.797
Cl1Li1,1700.0,78.73100000000001
Cl1Li1,1600.0,76.663
Cl1Li1,1500.0,74.598
Cl1Li1,1400.0,72.53399999999999
Cl1Li1,1300.0,70.452
Cl1Li1,1200.0,68.358
Cl1Li1,1100.0,66.266
Cl1Li1,1000.0,64.17
Cl1Li1,900.0,62.06100000000001
Cl1Li1,883.0,61.702
Cl1Li1,800.0,59.93600000000001
Cl1Li1,700.0,57.781000000000006
Cl1Li1,600.0,55.593
Cl1Li1,500.0,53.342
Cl1Li1,400.0,50.968999999999994
Cl1Li1,300.0,48.095
Cl1Li1,298.0,48.028
Fe0.877S1,1700.0,86.10700000000001
Fe0.877S1,1600.0,79.161
Fe0.877S1,1500.0,72.676
Fe0.877S1,1400.0,67.195
Fe0.877S1,1300.0,62.676
Fe0.877S1,1200.0,59.12
Fe0.877S1,1100.0,55.396
Fe0.877S1,1000.0,52.007
Fe0.877S1,900.0,52.886
Fe0.877S1,800.0,53.848
Fe0.877S1,700.0,55.56399999999999
Fe0.877S1,600.0,58.11600000000001
Fe0.877S1,598.0,68.563
Fe0.877S1,598.0,58.175
Fe0.877S1,500.0,62.383
Fe0.877S1,400.0,56.148999999999994
Fe0.877S1,300.0,50.0
Fe0.877S1,298.0,49.883
Cl1Na1,1400.0,77.53
Cl1Na1,1300.0,75.145
Cl1Na1,1200.0,71.965
Cl1Na1,1100.0,68.325
Cl1Na1,1073.8,67.37100000000001
Cl1Na1,1000.0,64.865
Cl1Na1,900.0,61.869
Cl1Na1,800.0,59.312
Cl1Na1,700.0,57.20399999999999
Cl1Na1,600.0,55.476000000000006
Cl1Na1,500.0,53.94
Cl1Na1,400.0,52.35
Cl1Na1,300.0,50.543
Cl1Na1,298.0,50.50899999999999
F2Hg1,1900.0,108.366
F2Hg1,1800.0,106.274
F2Hg1,1700.0,104.182
F2Hg1,1600.0,102.09
F2Hg1,1500.0,99.99799999999999
F2Hg1,1400.0,97.906
F2Hg1,1300.0,95.814
F2Hg1,1200.0,93.72200000000001
F2Hg1,1100.0,91.63
F2Hg1,1000.0,89.538
F2Hg1,918.0,87.822
F2Hg1,900.0,87.446
F2Hg1,800.0,85.354
F2Hg1,700.0,83.262
F2Hg1,600.0,81.17
F2Hg1,500.0,79.078
F2Hg1,400.0,76.986
F2Hg1,300.0,74.89399999999999
F2Hg1,298.0,74.85600000000001
Fe1H2O2,1400.0,125.436
,1300.0,125.353
Fe1H2O2,1200.0,125.102
Fe1H2O2,1100.0,124.516
Fe1H2O2,1000.0,123.38600000000001
Fe1H2O2,900.0,121.545
Fe1H2O2,800.0,118.95100000000001
Fe1H2O2,700.0,115.478
Fe1H2O2,600.0,111.294
Fe1H2O2,500.0,106.77600000000001
Fe1H2O2,400.0,102.09
Fe1H2O2,300.0,97.152
Fe1H2O2,298.0,97.069
Cs1H1O1,900.0,83.68
Cs1H1O1,800.0,83.68
Cs1H1O1,700.0,83.68
Cs1H1O1,600.0,83.68
Cs1H1O1,588.0,83.68
Cs1H1O1,500.0,83.68
Cs1H1O1,493.0,82.17399999999999
Cs1H1O1,493.0,83.68
Cs1H1O1,410.0,74.99
Cs1H1O1,410.0,75.22800000000001
Cs1H1O1,400.0,74.392
Cs1H1O1,300.0,67.99
Cs1H1O1,298.0,67.872
Br3Mo1,298.0,105.37
Br3Mo1,1400.0,121.50299999999999
Br3Mo1,1300.0,120.039
Br3Mo1,1200.0,118.575
Br3Mo1,1100.0,117.11
Br3Mo1,1000.0,115.646
Br3Mo1,900.0,114.181
Br3Mo1,800.0,112.71700000000001
Br3Mo1,700.0,111.25299999999999
Br3Mo1,600.0,109.788
Br3Mo1,500.0,108.324
Br3Mo1,400.0,106.859
Br3Mo1,300.0,105.395
Br2Sr1,298.0,76.85300000000001
Br2Sr1,1400.0,115.06
Br2Sr1,1300.0,115.06
Br2Sr1,1200.0,115.06
Br2Sr1,1100.0,115.06
Br2Sr1,1000.0,115.06
Br2Sr1,930.0,115.06
Br2Sr1,918.0,91.71700000000001
Br2Sr1,918.0,115.06
Br2Sr1,900.0,91.00200000000001
Br2Sr1,800.0,87.571
Br2Sr1,700.0,84.89299999999999
Br2Sr1,600.0,82.676
Br2Sr1,500.0,80.835
,400.0,79.036
Br2Sr1,300.0,76.902
Cl2Hg2,1400.0,126.311
Cl2Hg2,1300.0,125.169
Cl2Hg2,1200.0,123.846
Cl2Hg2,1100.0,122.34
Cl2Hg2,1000.0,120.667
Cl2Hg2,900.0,118.82600000000001
Cl2Hg2,800.0,116.81700000000001
Cl2Hg2,700.0,114.55799999999999
Cl2Hg2,600.0,112.131
Cl2Hg2,500.0,109.32799999999999
Cl2Hg2,400.0,106.023
Cl2Hg2,300.0,102.04799999999999
Cl2Hg2,298.0,101.96799999999999
Fe1O1,1900.0,65.79
Fe1O1,1800.0,65.229
Fe1O1,1700.0,64.631
Fe1O1,1650.0,64.319
Fe1O1,1600.0,64.015
Fe1O1,1500.0,63.396
Fe1O1,1400.0,62.76
Fe1O1,1300.0,61.975
Fe1O1,1200.0,61.086000000000006
Fe1O1,1100.0,60.233999999999995
Fe1O1,1000.0,59.371
Fe1O1,900.0,58.283
Fe1O1,800.0,57.321000000000005
Fe1O1,700.0,56.148999999999994
Fe1O1,600.0,54.894
Fe1O1,500.0,53.388000000000005
Fe1O1,400.0,51.84
Fe1O1,300.0,49.998999999999995
Fe1O1,298.0,49.915
Co1,2400.0,37.656
Co1,2300.0,37.656
Co1,2200.0,37.656
Co1,2100.0,37.656
Co1,2000.0,37.656
Co1,1900.0,37.656
Co1,1800.0,37.656
Co1,1768.0,37.99
Co1,1700.0,37.782
Co1,1600.0,38.284
Co1,1500.0,39.748000000000005
Co1,1400.0,44.225
Co1,1394.0,54.978
Co1,1394.0,54.998999999999995
Co1,1300.0,48.66
Co1,1200.0,43.221000000000004
Co1,1100.0,39.832
Co1,1000.0,36.986999999999995
Co1,900.0,34.518
Co1,800.0,32.426
Co1,700.1,31.046999999999997
Co1,700.1,30.583000000000002
Co1,700.0,31.045
Co1,600.0,29.665
Co1,500.0,28.2
Co1,450.0,27.39
Co1,400.0,26.526999999999997
Co1,350.0,25.682
Co1,300.0,24.833000000000002
Co1,298.0,24.802
Cl1Cs1,298.0,52.442
Cl1Cs1,1900.0,69.245
Cl1Cs1,1800.0,68.743
Cl1Cs1,1700.0,68.241
Cl1Cs1,1600.0,67.697
Cl1Cs1,1500.0,67.195
Cl1Cs1,1400.0,66.693
Cl1Cs1,1300.0,66.191
Cl1Cs1,1200.0,65.689
Cl1Cs1,1100.0,65.187
Cl1Cs1,1000.0,64.685
Cl1Cs1,918.0,64.266
Cl1Cs1,900.0,64.17399999999999
Cl1Cs1,800.0,63.68
Cl1Cs1,743.0,62.236999999999995
Cl1Cs1,743.0,63.388000000000005
Cl1Cs1,700.0,61.29600000000001
Cl1Cs1,600.0,59.099
Cl1Cs1,500.0,56.902
Cl1Cs1,400.0,54.685
Cl1Cs1,300.0,52.472
Cu1H2O2,1400.0,122.04700000000001
Cu1H2O2,1300.0,121.88
Cu1H2O2,1200.0,121.50299999999999
Cu1H2O2,1100.0,120.75
Cu1H2O2,1000.0,119.662
Cu1H2O2,900.0,117.98899999999999
Cu1H2O2,800.0,115.56200000000001
Cu1H2O2,700.0,112.131
Cu1H2O2,600.0,108.031
Cu1H2O2,500.0,103.76299999999999
Cu1H2O2,400.0,99.49600000000001
Cu1H2O2,300.0,95.228
Cu1H2O2,298.0,95.186
Al1Li1O2,298.0,67.777
Al1Li1O2,2100.0,117.294
Al1Li1O2,2000.0,116.022
Al1Li1O2,1973.0,115.679
Al1Li1O2,1900.0,114.74600000000001
Al1Li1O2,1800.0,113.449
Al1Li1O2,1700.0,112.14
Al1Li1O2,1600.0,110.81299999999999
Al1Li1O2,1500.0,109.46600000000001
Al1Li1O2,1400.0,108.089
Al1Li1O2,1300.0,106.671
Al1Li1O2,1200.0,105.198
Al1Li1O2,1100.0,103.654
Al1Li1O2,1000.0,102.006
Al1Li1O2,900.0,100.20299999999999
Al1Li1O2,800.0,98.165
Al1Li1O2,700.0,95.751
Al1Li1O2,600.0,92.68799999999999
Al1Li1O2,500.0,88.40799999999999
Al1Li1O2,400.0,81.546
Al1Li1O2,300.0,68.128
Co1F2,1900.0,87.441
Co1F2,1800.0,87.14
Co1F2,1700.0,86.831
Co1F2,1600.0,86.51700000000001
Co1F2,1500.0,86.186
Co1F2,1400.0,85.839
Co1F2,1400.0,85.839
Co1F2,1300.0,85.475
Co1F2,1200.0,85.07700000000001
Co1F2,1100.0,84.646
Co1F2,1000.0,84.161
Co1F2,900.0,83.59200000000001
Co1F2,800.0,82.902
Co1F2,700.0,82.015
Co1F2,600.0,80.789
Co1F2,500.0,78.92699999999999
Co1F2,400.0,75.714
Co1F2,300.0,69.041
Co1F2,298.0,68.90899999999999
Br2Fe1,298.0,80.232
Br2Fe1,1400.0,104.759
Br2Fe1,1300.0,102.53299999999999
Br2Fe1,1200.0,100.307
Br2Fe1,1100.0,98.081
Br2Fe1,1000.0,95.855
Br2Fe1,964.0,95.054
Br2Fe1,900.0,93.63
Br2Fe1,800.0,91.404
Br2Fe1,700.0,89.178
Br2Fe1,650.0,88.061
Br2Fe1,650.0,88.069
Br2Fe1,600.0,86.95200000000001
Br2Fe1,500.0,84.726
Br2Fe1,400.0,82.5
Br2Fe1,300.0,80.274
Fe1I2,1400.0,142.256
Fe1I2,1300.0,142.256
Fe1I2,1200.0,142.256
Fe1I2,1100.0,141.188
Fe1I2,1000.0,136.817
Fe1I2,900.0,126.22399999999999
Fe1I2,860.0,120.005
Fe1I2,800.0,110.876
Fe1I2,700.0,95.395
Fe1I2,650.0,84.546
Fe1I2,650.0,87.86399999999999
Fe1I2,600.0,84.425
Fe1I2,500.0,84.182
Fe1I2,400.0,83.931
Fe1I2,300.0,83.68
Fe1I2,298.0,83.68
Ga1,450.0,27.916
Ga1,400.0,27.46
Ga1,350.0,27.004
Ga1,302.92,26.133000000000003
Ga1,300.0,26.090999999999998
Ga1,298.0,26.064
Cl1Li1O4,298.0,105.01799999999999
Cl1Li1O4,1400.0,192.771
Cl1Li1O4,1300.0,188.86599999999999
Cl1Li1O4,1200.0,184.933
Cl1Li1O4,1100.0,180.972
Cl1Li1O4,1000.0,176.983
Cl1Li1O4,900.0,172.067
Cl1Li1O4,800.0,166.523
Cl1Li1O4,700.0,160.03799999999998
Cl1Li1O4,600.0,152.716
Cl1Li1O4,509.0,144.34
Cl1Li1O4,500.0,143.511
Cl1Li1O4,400.0,129.704
Cl1Li1O4,300.0,105.43700000000001
Cl2Cu1,1400.0,84.75
Cl2Cu1,1300.0,84.19
Cl2Cu1,1200.0,83.60700000000001
Cl2Cu1,1100.0,83.001
Cl2Cu1,1000.0,82.37
Cl2Cu1,900.0,81.655
Cl2Cu1,800.0,80.885
Cl2Cu1,700.0,79.956
Cl2Cu1,600.0,78.785
Cl2Cu1,500.0,77.278
Cl2Cu1,400.0,75.061
Cl2Cu1,300.0,71.923
Cl2Cu1,298.0,71.881
Fe0.947O1,2400.0,64.74
Fe0.947O1,2300.0,64.601
Fe0.947O1,2200.0,64.434
Fe0.947O1,2100.0,64.238
Fe0.947O1,2000.0,64.015
Fe0.947O1,1900.0,63.696000000000005
Fe0.947O1,1800.0,63.303999999999995
Fe0.947O1,1700.0,62.787
Fe0.947O1,1600.0,62.065
Fe0.947O1,1500.0,61.211999999999996
Fe0.947O1,1400.0,60.358000000000004
Fe0.947O1,1300.0,59.496
Fe0.947O1,1200.0,58.63
Fe0.947O1,1100.0,57.76
Fe0.947O1,1000.0,56.873000000000005
Fe0.947O1,900.0,55.968999999999994
Fe0.947O1,800.0,55.041000000000004
Fe0.947O1,700.0,54.07
Fe0.947O1,600.0,53.028
Fe0.947O1,500.0,51.848
Fe0.947O1,400.0,50.38
Fe0.947O1,300.0,48.183
Fe0.947O1,298.0,48.11600000000001
Be1Cl2,298.0,64.852
Be1Cl2,1400.0,85.234
Be1Cl2,1300.0,85.007
Be1Cl2,1200.0,84.67200000000001
Be1Cl2,1100.0,84.23
Be1Cl2,1000.0,83.68
Be1Cl2,900.0,83.023
Be1Cl2,800.0,82.257
Be1Cl2,700.0,81.358
Be1Cl2,688.0,81.278
Be1Cl2,600.0,80.082
Be1Cl2,500.0,77.53
Be1Cl2,400.0,72.76
Be1Cl2,300.0,65.01899999999999
Cl1K1,298.0,51.287
Cl1K1,1400.0,82.006
Cl1K1,1300.0,79.49600000000001
Cl1K1,1200.0,76.149
Cl1K1,1100.0,71.965
Cl1K1,1044.0,69.28699999999999
Cl1K1,1000.0,66.969
Cl1K1,900.0,62.911
Cl1K1,800.0,60.078
Cl1K1,700.0,58.003
Cl1K1,600.0,56.317
Cl1K1,500.0,54.751999999999995
Cl1K1,400.0,53.137
Cl1K1,300.0,51.32899999999999
F1Na1,2900.0,71.128
F1Na1,2800.0,71.128
F1Na1,2700.0,71.128
F1Na1,2600.0,71.128
F1Na1,2500.0,71.128
F1Na1,2400.0,71.128
F1Na1,2300.0,71.128
F1Na1,2200.0,71.128
F1Na1,2100.0,71.128
F1Na1,2000.0,71.128
F1Na1,1900.0,71.128
F1Na1,1800.0,71.128
F1Na1,1700.0,71.128
F1Na1,1600.0,71.128
F1Na1,1500.0,70.626
F1Na1,1400.0,69.16199999999999
F1Na1,1300.0,66.944
F1Na1,1269.0,66.149
F1Na1,1200.0,64.266
F1Na1,1100.0,61.756
F1Na1,1000.0,59.505
F1Na1,900.0,57.492
F1Na1,800.0,55.71
F1Na1,700.0,54.123999999999995
F1Na1,600.0,52.677
F1Na1,500.0,51.262
F1Na1,400.0,49.597
F1Na1,300.0,46.924
F1Na1,298.0,46.852
H3O4P1,900.0,288.361
H3O4P1,800.0,258.069
H3O4P1,700.0,227.77700000000002
H3O4P1,600.0,197.485
H3O4P1,500.0,167.19299999999998
H3O4P1,400.0,136.9
H3O4P1,315.5,111.303
H3O4P1,300.0,106.60799999999999
H3O4P1,298.0,106.064
Fe3O4,2900.0,200.832
Fe3O4,2800.0,200.832
Fe3O4,2700.0,200.832
Fe3O4,2600.0,200.832
Fe3O4,2500.0,200.832
Fe3O4,2400.0,200.832
Fe3O4,2300.0,200.832
Fe3O4,2200.0,200.832
Fe3O4,2100.0,200.832
Fe3O4,2000.0,200.832
Fe3O4,1900.0,200.832
Fe3O4,1800.0,200.832
Fe3O4,1700.0,200.832
Fe3O4,1600.0,200.832
Fe3O4,1500.0,200.832
Fe3O4,1400.0,200.832
Fe3O4,1300.0,200.832
Fe3O4,1200.0,200.832
Fe3O4,1100.0,200.832
Fe3O4,1000.0,200.832
Fe3O4,900.0,273.05
Fe3O4,900.0,273.05
Fe3O4,900.0,200.832
Fe3O4,800.0,252.88099999999997
Fe3O4,700.0,232.71400000000003
Fe3O4,600.0,212.547
Fe3O4,500.0,192.38
Fe3O4,400.0,171.12599999999998
Fe3O4,300.0,147.695
Fe3O4,298.0,147.235
H1Na1O1,1400.0,86.023
H1Na1O1,1300.0,86.023
H1Na1O1,1200.0,86.023
H1Na1O1,1100.0,86.023
H1Na1O1,1000.0,86.023
H1Na1O1,900.0,86.023
H1Na1O1,800.0,86.023
H1Na1O1,700.0,86.023
H1Na1O1,600.0,86.023
H1Na1O1,596.0,86.023
H1Na1O1,572.0,85.887
H1Na1O1,572.0,86.023
H1Na1O1,500.0,75.157
H1Na1O1,400.0,64.936
H1Na1O1,300.0,59.663999999999994
H1Na1O1,298.0,59.53
Fe2O12S3,1900.0,449.069
Fe2O12S3,1800.0,445.55400000000003
Fe2O12S3,1700.0,441.83
Fe2O12S3,1600.0,438.065
Fe2O12S3,1500.0,434.09
Fe2O12S3,1400.0,429.906
Fe2O12S3,1300.0,425.51300000000003
Fe2O12S3,1200.0,420.659
Fe2O12S3,1100.0,415.26199999999994
Fe2O12S3,1000.0,409.23699999999997
Fe2O12S3,900.0,402.041
Fe2O12S3,800.0,393.254
Fe2O12S3,700.0,380.702
Fe2O12S3,600.0,363.29699999999997
Fe2O12S3,500.0,339.281
Fe2O12S3,400.0,307.022
Fe2O12S3,300.0,265.851
Fe2O12S3,298.0,264.722
H1Na1,1400.0,63.021
H1Na1,1300.0,62.425
H1Na1,1200.0,61.641000000000005
H1Na1,1100.0,60.668
H1Na1,1000.0,59.413000000000004
H1Na1,900.0,57.948
H1Na1,800.0,56.066
H1Na1,700.0,53.723
H1Na1,600.0,50.71
H1Na1,500.0,47.153999999999996
H1Na1,400.0,42.468
H1Na1,300.0,36.535
